Time,Filename,mean_Deg_C_1_1,uL_BL,uL_Channel_2,uL_Channel_3,uL_Channel_4,uL_Channel_5,uL_Channel_6,Baseline,w1118 BL 6326,w1118 BL 6326,eaat2 e04636,eaat2 e04636,eaat2 e04636
13:31:04,RepRec~04-28-2017_0311.exp,24.68084,0.2060264,1.24649,1.617309,1.334238,1.602353,1.426122,0,95,39,19,8,6
13:36:04,RepRec~04-28-2017_0312.exp,24.62833,0.1955864,1.258909,1.689218,1.372527,1.594704,1.424752,0,82,50,6,20,4
13:41:04,RepRec~04-28-2017_0313.exp,24.59846,0.2026221,1.25026,1.64276,1.463051,1.436412,1.40273,0,80,29,20,8,4
13:46:04,RepRec~04-28-2017_0314.exp,24.56903,0.2111261,1.25641,1.647889,1.36046,1.343875,1.654405,0,98,36,40,1,15
13:51:04,RepRec~04-28-2017_0315.exp,24.51481,0.2084572,1.30788,1.654808,1.2886,1.243068,1.57427,0,99,37,24,0,19
13:56:04,RepRec~04-28-2017_0316.exp,24.48212,0.1904044,1.288989,1.646467,1.343321,1.235256,1.573513,0,80,24,13,0,12
14:01:04,RepRec~04-28-2017_0317.exp,24.45081,0.196544,1.194552,1.691235,1.379529,1.268349,1.495416,0,76,29,15,0,10
14:06:04,RepRec~04-28-2017_0318.exp,24.41195,0.1923939,1.213173,1.657078,1.383649,1.215115,1.412074,0,91,28,6,0,13
14:11:04,RepRec~04-28-2017_0319.exp,24.35404,0.194536,1.265943,1.672353,1.406956,1.204858,1.367516,0,79,55,20,0,4
14:16:04,RepRec~04-28-2017_0320.exp,24.31532,0.1864787,1.18798,1.68416,1.383195,1.194033,1.390427,0,73,34,18,0,7
14:21:04,RepRec~04-28-2017_0321.exp,24.2954,0.1998173,1.232463,1.716274,1.379505,1.182273,1.366004,0,68,32,29,0,7
14:26:04,RepRec~04-28-2017_0322.exp,24.26874,0.1872575,1.175841,1.612041,1.356387,1.142349,1.518678,0,61,39,19,0,5
14:31:04,RepRec~04-28-2017_0323.exp,24.21713,0.2035654,1.186949,1.601511,1.390312,1.162198,1.569234,0,72,34,24,0,13
14:36:04,RepRec~04-28-2017_0324.exp,24.19431,0.1943643,1.169382,1.650264,1.35712,1.167609,1.561204,0,60,36,21,0,16
14:41:04,RepRec~04-28-2017_0325.exp,24.1763,0.1978048,1.220643,1.624608,1.444462,1.159291,1.460761,0,54,45,20,0,11
